# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.400000,0.255807,-0.000000,0.000000,-26.562166,48.836923,7.462548,-20.995085,-27.575976,0.132706,-0.000000,0.000000,25.864328,-76.139669,8.942058,48.503324,49.607712,0.999983,0.000000,0.000000,0.002438,-0.001721,-0.001516,-0.000796,-0.000313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,-0.248707,-1.372978,5.792827,11.935204,-34.745882,1.225510,15.572637,16.609287,0.210361,-1.529898,-7.041053,24.880916,-6.590467,-15.304518,-5.250805,2.009654,1.000076,0.000478,-0.000070,-0.004042,0.001176,0.001972,0.001589,0.001029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.106860,1.685105,-2.905095,-6.882495,8.256684,1.286396,0.029618,0.227893,-0.279437,0.868973,5.110153,-15.071441,17.404159,-3.304543,-10.530285,-9.883338,1.000055,-0.000839,-0.001699,0.003949,0.001213,-0.000918,-0.001674,-0.001583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.100646,-1.655845,-2.354001,8.628535,10.843120,-6.196831,-14.160646,-14.273859,0.273588,0.824931,-4.551434,-14.846292,33.668940,10.330460,-14.129503,-23.224807,0.999713,-0.000257,0.002634,0.000861,-0.002636,-0.001402,-0.000473,-0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,-0.253366,1.306005,5.936526,-14.852407,-11.108355,16.097104,21.888673,17.871024,-0.203049,-1.534907,6.146701,16.657557,-71.777543,17.559675,53.222693,51.594889,1.000003,0.001379,0.000054,-0.006221,0.002728,0.004423,0.003709,0.002498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
