Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.68282,0,0,0,0,1.0895,-1.36834,0.612648,-0.0964066,0,0,0,0,0.00832896,-0.011132,0.00492342,-0.000742497,1,0,0,0,0,0,0,0,-1.5707963277,0,0,0,0,0,0,0
1.7066,0.5,0.18263,-0.321495,-0.0838404,0.105642,-0.0381062,0.0116604,-0.00216209,0,-0.00697303,-0.00715196,0.00166878,0.00178363,0.00507991,-0.00377305,0.00068739,1,0,0,0,0,0,0,0,-1.5707963277,0,0,0,0,0,0,0
1.5517,0,-0.52419,0.0276662,0.0447236,-0.387019,0.707729,-0.414071,0.0801815,0,0.0252673,0.0139467,-0.00919962,-0.0114282,-0.00256412,0.00560049,-0.00125911,1,0,0,0,0,0,0,0,-1.5707963277,0,0,0,0,0,0,0
1.54718,-0.5,0.100995,0.225808,0.0119694,0.297083,-0.571547,0.318158,-0.0584489,0,-0.0637636,-0.0406162,0.0211297,-0.405088,0.739607,-0.426305,0.0814846,1,0,0,0,0,0,0,0,-1.5707963277,0,0,0,0,0,0,0
1.55814,0,0.223388,-0.155084,0.0133511,-0.204806,0.290604,-0.140197,0.0234296,0,0.298656,0.160126,-0.0164968,0.216208,-0.494516,0.296896,-0.0570936,1,0,0,0,0,0,0,0,-1.5707963277,0,0,0,0,0,0,0
1.57696,0,-0.0757122,0.0405792,0.0187782,0.129883,-0.218252,0.114617,-0.0203125,0.5,0.0162623,-0.236087,0.00921399,-0.0420612,0.0454858,-0.0100292,-0.000161282,1,0,0,-1.5707963277,0,0,0,0,0,0,0,0,0,0,0,0
1.49911,0,0.00113357,-0.019307,0.00359976,0.0695763,-0.0949048,0.0476779,-0.00848867,0,-0.517123,0.000317783,0.0535263,-0.539343,1.08451,-0.689321,0.142868,1,0,0,0,0,0,0,0,-1.5707963277,0,0,0,0,0,0,0
