Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.44005,0.5,0,0,0,0,0,0,0,0,0,0,0,0.124576,-0.0750103,0.0160763,-0.00121944,1,0,0,0,0,0,0,0,-1.570796327,0,0,0,0,0,0,0
3.63796,0.5,0,0,0,0,0,0,0,1,0.0850182,-0.257207,-0.0504023,0.0725854,-0.0236736,0.00405257,-0.000296645,1,0,0,0,0,0,0,0,1.570796327,0,0,0,0,0,0,0
3.50119,0.5,0,0,0,0,0,0,0,0,0.138994,0.236407,-0.0434719,0.0249597,-0.0291504,0.00894368,-0.000838462,1,0,0,0,0,0,0,0,1.570796327,0,0,0,0,0,0,0
